vm_policy;link_policy;wf_policy;timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W)
LFF;BLA;Priority;130;h_0;0;6.25;12.5;20.0;LFF;4.3398
LFF;BLA;PSO;120;h_0;0;6.25;12.5;20.0;LFF;4.006
LFF;BLA;SJF;130;h_0;0;6.25;12.5;20.0;LFF;4.3398
LFF;First;Priority;140;h_0;0;6.25;12.5;20.0;LFF;4.6736
LFF;First;PSO;130;h_0;0;6.25;12.5;20.0;LFF;4.3398
LFF;First;SJF;140;h_0;0;6.25;12.5;20.0;LFF;4.6736
LWFF;BLA;Priority;160;h_0;3;6.25;12.5;20.0;LWFF;4.6736
LWFF;BLA;PSO;140;h_0;3;6.25;12.5;20.0;LWFF;4.3398
LWFF;BLA;SJF;160;h_0;3;6.25;12.5;20.0;LWFF;4.6736
LWFF;First;Priority;160;h_0;3;6.25;12.5;20.0;LWFF;5.3413
LWFF;First;PSO;140;h_0;3;6.25;12.5;20.0;LWFF;4.6736
LWFF;First;SJF;160;h_0;3;6.25;12.5;20.0;LWFF;5.3413
MFF;BLA;Priority;70;h_0;;0.0;0.0;0.0;MFF;0.0
MFF;BLA;PSO;50;h_0;;0.0;0.0;0.0;MFF;0.0
MFF;BLA;SJF;70;h_0;;0.0;0.0;0.0;MFF;0.0
MFF;First;Priority;70;h_0;;0.0;0.0;0.0;MFF;0.0
MFF;First;PSO;50;h_0;;0.0;0.0;0.0;MFF;0.0
MFF;First;SJF;70;h_0;;0.0;0.0;0.0;MFF;0.0
