# units: time(s); vmId; cpu(%); ram(%); mips_alloc; ram_max
10;2;23.7501;0.0000;16000.0000;4096
10;0;16.2502;0.0000;8000.0000;2048
10;1;45.0056;0.0000;4000.0000;2048
10;3;21.2503;0.0000;8000.0000;2048
20;2;23.7501;0.0000;16000.0000;4096
20;0;21.2503;0.0000;8000.0000;2048
20;1;45.0068;0.0000;4000.0000;2048
20;3;16.2502;0.0000;8000.0000;2048
30;2;13.7501;0.0000;16000.0000;4096
30;0;6.2501;0.0000;8000.0000;2048
30;1;25.0025;0.0000;4000.0000;2048
30;3;11.2501;0.0000;8000.0000;2048
40;2;0.0000;0.0000;16000.0000;4096
40;0;0.0000;0.0000;8000.0000;2048
40;1;0.0000;0.0000;4000.0000;2048
40;3;0.0000;0.0000;8000.0000;2048
50;2;0.0000;0.0000;16000.0000;4096
50;0;0.0000;0.0000;8000.0000;2048
50;1;0.0000;0.0000;4000.0000;2048
50;3;0.0000;0.0000;8000.0000;2048
60;2;0.0000;0.0000;16000.0000;4096
60;0;0.0000;0.0000;8000.0000;2048
60;1;0.0000;0.0000;4000.0000;2048
60;3;0.0000;0.0000;8000.0000;2048
70;2;0.0000;0.0000;16000.0000;4096
70;0;0.0000;0.0000;8000.0000;2048
70;1;0.0000;0.0000;4000.0000;2048
70;3;0.0000;0.0000;8000.0000;2048
